"Ticker","Nome","Negócios","Última (R$)","Variação"
"BRSR3","Banrisul","3.500","18,88","+0,16%"
"PATI3","Panatlântica","3.400","33,00","-6,99%"
"RSUL4","Metalúrgica Riosulense","3.300","59,75","+0,40%"
"REDE3","Rede Energia","3.200","6,21","-0,80%"
"SNSY5","Sansuy","3.200","2,28","-2,56%"
"ALUP3","Alupar","2.700","13,02","-2,18%"
"ENGI3","Energisa","2.400","12,90","+2,46%"
"BEES4","Banestes","2.300","8,77","-0,90%"
"BAZA3","Banco da Amazônia","2.100","82,04","-0,50%"
"OIBR4","Oi","2.100","1,31","-0,76%"
"CTSA4","Santanense","2.000","1,70","-3,95%"
"CTAX3","Contax","1.900","0,76","-3,80%"
"DOHL4","Döhler","1.800","3,75","-2,34%"
"CEDO4","Cedro Têxtil","1.700","6,90","-1,29%"
"MNDL3","Mundial","1.600","17,30","-1,37%"
"AFLT3","Afluente T","1.600","7,22","-1,63%"
"CEBR5","CEB","1.500","28,73","-3,56%"
"DEXP4","Dexxos","1.400","7,00","-1,41%"
"OSXB3","OSX Brasil","1.300","1,54","+2,67%"
"ARND3","Arandu","1.300","0,80","+1,27%"
"CTKA4","Karsten","1.100","45,90","-2,32%"
"TELB4","Telebras","1.100","8,89","+1,14%"
"CGAS5","Comgás","900","131,00","-0,16%"
"CTSA3","Santanense","900","2,09","+0,00%"
"MTSA4","Metisa","800","64,80","-0,02%"
"EMAE4","EMAE","800","40,55","+0,32%"
"CRPG5","Tronox Pigmentos","800","18,04","+1,18%"
"BGIP4","Banese","700","35,98","+0,08%"
"NORD3","Nordon","700","1,80","+0,00%"
"CEDO3","Cedro Têxtil","600","7,98","-11,33%"
"CLSC4","Celesc","500","144,00","+0,02%"
"CEBR3","CEB","500","33,22","-1,40%"
"WLMM4","WLM","500","20,55","-0,92%"
"JOPA3","Josapar","500","17,69","+1,96%"
"UNIP5","Unipar","400","61,61","-4,48%"
"EALT3","Electro Aço Altona","400","13,90","+2,21%"
"SOND5","Sondotécnica","300","63,00","+11,11%"
"BGIP3","Banese","300","59,76","-2,18%"
"ISAE3","ISA Energia","300","34,89","+0,00%"
"CRPG6","Tronox Pigmentos","300","17,99","+2,80%"
"IGTI4","Jereissati Participações","300","12,24","-2,00%"
"IGTI4","Iguatemi","300","12,24","-2,00%"
"BDLL4","Bardella","300","6,00","-1,64%"
"CLSC3","Celesc","200","129,94","-0,03%"
"EUCA3","Eucatex","200","21,40","-0,47%"
"TELB3","Telebras","200","14,20","+0,28%"
"FESA3","Ferbasa","200","12,30","-1,36%"
"RSID3","Rossi Residencial","200","1,60","+0,00%"
"RVEE3","REVEE S.A.","200","1,05","+7,14%"
"RVEE3","REVEE","200","1,05","+7,14%"
"BNBR3","Banco do Nordeste","100","121,50","+0,00%"
"SOND6","Sondotécnica","100","63,96","+2,32%"
"MRSA6B","MRS Logística","100","44,00","+0,00%"
"CEEB5","COELBA","100","43,50","+1,16%"
"MRSA5B","MRS Logística","100","41,00","+2,53%"
"MWET4","Wetzel","100","21,50","+2,38%"
"BIOM11","Biomm","100","3,30","+0,00%"
"PPLA11","PPLA","42","0,49","+0,00%"
"BMKS3","Monark","16","380,00","+0,00%"
"RPAD5","Alfa Holdings","4.100","6,15","-3,00%"
"EQMA3B","Equatorial Maranhão","3.300","31,00","-3,09%"
"JFEN3","João Fortes","2.900","0,74","-3,90%"
"EKTR4","Elektro","1.100","38,05","+0,11%"
"BMIN4","Banco Mercantil de Investimentos","600","19,50","+8,33%"
"PEAB4","Participações Aliança da Bahia","500","39,25","-6,46%"
"BALM4","Baumer","500","18,93","-5,35%"
"BAUH4","Excelsior","400","94,99","+0,00%"
"CEEB3","COELBA","400","48,10","+0,06%"
"PATI4","Panatlântica","400","35,00","-5,41%"
"BRSR5","Banrisul","400","18,42","-5,15%"
"JOPA4","Josapar","300","15,00","-24,24%"
"PLAS3","Plascar","200","4,00","+0,25%"
"ENMT4","Energisa MT","100","50,99","-1,94%"
"RPAD3","Alfa Holdings","100","5,60","+0,00%"
"NEXP3","Brasil Brokers","100","2,82","+3,68%"
"EKTR3","Elektro","200","51,50","+3,00%"
"MRSA3B","MRS Logística","200","50,00","+4,93%"
"TKNO3","Tekno","100","214,99","+0,00%"
"MAPT3","Cemepe","100","3,00","+0,00%"
"PSVM11","PORTO VM","5.500","4,75","+0,00%"
"GEPA4","Rio Paranapanema Energia","300","37,00","+0,00%"
"TKNO4","Tekno","200","212,00","-4,50%"
"ADMF3","REAG TRUST S.A","200","20,00","-13,04%"
"PEAB3","Participações Aliança da Bahia","100","42,00","+7,69%"
"CRPG3","Tronox Pigmentos","100","17,51","-10,71%"
"BRKM6","Braskem","100","8,11","+0,00%"
"ENMT3","Energisa MT","400","50,00","+8,32%"
"AHEB3","São Paulo Turismo","200","25,00","+0,00%"
"SNSY3","Sansuy","200","11,46","+14,60%"
"RPAD6","Alfa Holdings","200","5,61","+1,81%"
"ESTR4","Estrela","200","4,01","-0,25%"
"CGAS3","Comgás","100","126,00","-0,33%"
"BALM3","Baumer","100","26,00","+0,00%"
"CBEE3","Ampla Energia","300","9,95","-0,30%"
"HBTS5","Habitasul","100","35,89","+0,00%"
"CALI3","Adolpho Lindenberg","100","16,30","-5,51%"
"GSHP3","General Shopping & Outlets","300","2,95","-0,34%"
"CTKA3","Karsten","100","46,95","-0,32%"
"CCTY3","RDVC CITY","100","8,50","-10,99%"
"CCTY3","REDVECO PROPERTIES S.A","100","8,50","-10,99%"
